NSDL Scheme Code,Scheme Name,TER Date (Change),Old Regular Plan - Base TER (%),New Regular Plan - Base TER (%),Regular Plan - TER Reduction (%),Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),Direct Plan - TER Reduction (%),Difference (Direct - Regular) TER Reduction (%)
DSPM/O/E/THE/24/06/0077,DSP Business Cycle Fund,2026-02-01,2.03,2.01,0.02,0.53,0.55,-0.02,-0.04
DSPM/O/H/BHF/99/04/0004,DSP Aggressive Hybrid Fund,2026-02-01,1.56,1.57,-0.01,0.51,0.53,-0.02,-0.01
DSPM/O/H/CHF/04/04/0012,DSP Regular Savings Fund,2026-02-01,1.1,1.14,-0.04,0.42,0.46,-0.04,0.0
DSPM/O/H/DAA/13/10/0026,DSP Dynamic Asset Allocation Fund,2026-02-01,1.75,1.74,0.01,0.54,0.53,0.01,0.0
DSPM/O/H/ESF/15/09/0030,DSP Equity Savings Fund,2026-02-01,1.38,1.41,-0.03,0.53,0.56,-0.03,0.0
DSPM/O/H/MAA/23/06/0065,DSP Multi Asset Allocation Fund,2026-02-01,1.37,1.36,0.01,0.19,0.21,-0.02,-0.03
DSPM/O/O/EIN/24/12/0080,DSP Nifty Private Bank Index Fund,2026-02-01,0.93,0.94,-0.01,0.23,0.22,0.01,0.02
DSPM/O/O/EIN/25/01/0084,DSP Nifty Healthcare Index Fund,2026-02-01,0.88,0.9,-0.02,0.23,0.25,-0.02,0.0
DSPM/O/O/EIN/25/10/0091,DSP Nifty Smallcap 250 Index Fund,2026-02-01,0.93,0.94,-0.01,0.23,0.24,-0.01,0.0
DSPM/O/O/FOO/14/06/0028,DSP Income Plus Arbitrage Omni FoF,2026-02-01,0.94,0.9,0.04,0.42,0.41,0.01,-0.03
EDEL/O/D/LOW/25/02/0068,Edelweiss Low Duration Fund,2026-02-01,0.91,0.93,-0.02,0.06,0.18,-0.12,-0.09999999999999999
EDEL/O/D/MMF/08/04/0004,Edelweiss Money Market Fund,2026-02-01,0.78,0.64,0.14,0.14,0.08,0.06,-0.08000000000000002
EDEL/O/E/FCF/14/10/0018,Edelweiss Flexi Cap Fund,2026-02-01,1.79,1.78,0.01,0.33,0.32,0.01,0.0
EDEL/O/E/FOC/21/12/0042,Edelweiss Focused Fund,2026-02-01,2.05,2.04,0.01,0.51,0.5,0.01,0.0
EDEL/O/E/LCF/09/03/0006,Edelweiss Large Cap Fund,2026-02-01,1.97,1.96,0.01,0.48,0.45,0.03,0.019999999999999997
EDEL/O/E/LMF/07/03/0001,Edelweiss Large & Mid Cap Fund,2026-02-01,1.74,1.73,0.01,0.32,0.31,0.01,0.0
EDEL/O/E/MAA/23/05/0054,Edelweiss Multi Asset Allocation Fund,2026-02-01,0.65,0.67,-0.02,0.31,0.33,-0.02,0.0
EDEL/O/E/MCF/23/08/0055,Edelweiss Multi Cap Fund,2026-02-01,1.8,1.79,0.01,0.31,0.34,-0.03,-0.04
EDEL/O/E/MIF/07/10/0003,Edelweiss Mid Cap Fund,2026-02-01,1.57,1.56,0.01,0.3,0.32,-0.02,-0.03
EDEL/O/E/OES/17/12/0021,Edelweiss Recently Listed IPO Fund,2026-02-01,2.11,2.09,0.02,0.84,0.82,0.02,0.0
EDEL/O/E/SCF/18/08/0022,Edelweiss Small Cap Fund,2026-02-01,1.71,1.7,0.01,0.34,0.33,0.01,0.0
EDEL/O/E/THE/24/01/0060,Edelweiss Business Cycle Fund,2026-02-01,1.95,1.94,0.01,0.37,0.41,-0.04,-0.05
EDEL/O/E/THE/24/11/0066,Edelweiss Consumption Fund,2026-02-01,2.24,2.25,-0.01,0.6,0.59,0.01,0.02
EDEL/O/H/AHF/09/04/0007,Edelweiss Aggressive Hybrid Fund,2026-02-01,1.77,1.75,0.02,0.28,0.27,0.01,-0.01
EDEL/O/H/BAF/09/06/0009,Edelweiss Balanced Advantage Fund,2026-02-01,1.54,1.53,0.01,0.39,0.37,0.02,0.01
EDEL/O/H/ESF/14/09/0017,Edelweiss Equity Savings Fund,2026-02-01,1.52,1.5,0.02,0.55,0.53,0.02,0.0
EDEL/O/O/FOD/25/06/0070,Edelweiss Income Plus Arbitrage Active Fund of Funds,2026-02-01,0.29,0.28,0.01,0.04,0.03,0.01,0.0
EDEL/O/O/FOD/25/07/0071,Edelweiss Multi Asset Omni Fund of Fund,2026-02-01,1.38,1.4,-0.02,0.06,0.11,-0.05,-0.030000000000000002
FTMF/O/D/FLF/01/04/0015,Franklin India Floating Rate Fund,2026-02-01,0.9,0.89,0.01,0.21,0.22,-0.01,-0.02
