NSDL Scheme Code,Scheme Name,Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),TER Date (Change),TER Reduction (%)
NIMF/O/O/EIN/21/10/0123,Nippon India Nifty Alpha Low Volatility30IndexFund,0.32,0.31,2026-02-01,0.01
NIMF/O/O/EIN/25/02/0164,NIPPON INDIA NIFTY INDIA MANUFACTURING INDEX FUND,0.25,0.24,2026-02-01,0.01
NIMF/O/O/FOD/20/01/0105,Nippon India Multi - Asset Omni FoF,0.06,0.05,2026-02-01,0.01
NIMF/O/S/RET/14/07/0052,Nippon India Retirement Fund- Wealth Creation Scheme,0.85,0.84,2026-02-01,0.01
NJMF/O/E/FCF/23/02/0005,NJ Flexi Cap Fund,0.38,0.37,2026-02-01,0.01
NSDL Code not allocated,UTI - Unit Linked Insurance Plan,0.85,0.86,2026-02-01,-0.01
OLDB/O/E/MCF/23/11/0001,Old Bridge Focused Fund,0.8,0.79,2026-02-01,0.01
PGIM/O/D/DBF/11/10/0012,PGIM India Dynamic Bond Fund,0.4,0.41,2026-02-01,-0.01
PGIM/O/D/MMF/19/12/0021,PGIM India Money Market Fund,0.2,0.19,2026-02-01,0.01
PGIM/O/D/ONF/19/02/0020,PGIM India Overnight Fund,0.14,0.16,2026-02-01,-0.02
PGIM/O/E/ELS/15/05/0017,PGIM India ELSS Tax Saver Fund,0.65,0.64,2026-02-01,0.01
PGIM/O/E/FCF/13/12/0015,PGIM India Flexi cap fund,0.34,0.38,2026-02-01,-0.04
PGIM/O/E/LCF/02/12/0003,PGIM India Large Cap Fund,0.69,0.68,2026-02-01,0.01
PGIM/O/E/LMF/23/07/0026,PGIM India Large and Midcap Fund,0.49,0.48,2026-02-01,0.01
PGIM/O/E/MIF/13/08/0014,PGIM India Midcap Fund,0.36,0.4,2026-02-01,-0.04
PGIM/O/E/SCF/21/06/0023,PGIM India Small Cap Fund,0.45,0.44,2026-02-01,0.01
PGIM/O/H/AHF/04/01/0006,PGIM India Aggressive Hybrid Equity Fund,0.63,0.64,2026-02-01,-0.01
PGIM/O/H/ARB/14/06/0016,PGIM India Arbitrage Fund,0.33,0.34,2026-02-01,-0.01
PGIM/O/H/BAF/20/09/0022,PGIM India Balanced Advantage Fund,0.46,0.47,2026-02-01,-0.01
PGIM/O/H/MAA/25/08/0030,PGIM India Multi Asset Allocation Fund,0.5,0.44,2026-02-01,0.06
PGIM/O/O/DIN/23/01/0025,PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund,0.33,0.48,2026-02-01,-0.15
PGIM/O/O/FOO/10/02/0011,PGIM India Global Equity Opportunities Fund of Fund,0.49,0.48,2026-02-01,0.01
QNTM/O/D/GIL/22/11/0017,QUANT GILT FUND,0.31,0.28,2026-02-01,0.03
QNTM/O/D/LIF/05/09/0007,QUANT LIQUID FUND,0.19,0.2,2026-02-01,-0.01
QNTM/O/D/ONF/22/11/0016,QUANT OVERNIGHT FUND,0.14,0.11,2026-02-01,0.03
QNTM/O/E/DAA/23/02/0018,Quant Dynamic Asset Allocation Fund,0.62,0.65,2026-02-01,-0.03
QNTM/O/E/ELS/00/03/0002,Quant ELSS Tax Saver Fund,0.58,0.64,2026-02-01,-0.06
QNTM/O/E/FCF/08/08/0011,QUANT FLEXI CAP FUND,0.57,0.56,2026-02-01,0.01
QNTM/O/E/FOC/08/07/0010,QUANT FOCUSED FUND,0.67,0.66,2026-02-01,0.01
QNTM/O/E/LCF/22/05/0015,QUANT LARGE CAP FUND,0.39,0.38,2026-02-01,0.01
QNTM/O/E/LMF/06/11/0008,QUANT LARGE & MID CAP FUND,0.59,0.61,2026-02-01,-0.02
QNTM/O/E/MCF/01/02/0004,Quant Multi Cap Fund,0.54,0.56,2026-02-01,-0.02
QNTM/O/E/MIF/01/02/0003,QUANT MID CAP FUND,0.62,0.65,2026-02-01,-0.03
QNTM/O/E/SCF/96/09/0001,QUANT SMALL CAP FUND,0.61,0.63,2026-02-01,-0.02
QNTM/O/E/THE/07/07/0009,QUANT INFRASTRUCTURE FUND,0.59,0.64,2026-02-01,-0.05
QNTM/O/E/THE/20/09/0012,Quant ESG Integration Strategy Fund,0.76,0.74,2026-02-01,0.02
QNTM/O/E/THE/21/03/0013,QUANT QUANTAMENTAL FUND,0.65,0.69,2026-02-01,-0.04
QNTM/O/E/THE/23/03/0019,QUANT BUSINESS CYCLE FUND,0.56,0.57,2026-02-01,-0.01
QNTM/O/E/THE/23/03/0020,Quant BFSI Fund,0.62,0.6,2026-02-01,0.02
QNTM/O/E/THE/23/04/0022,Quant Manufacturing Fund,0.81,0.83,2026-02-01,-0.02
QNTM/O/E/THE/23/09/0024,Quant Momentum Fund,0.81,0.83,2026-02-01,-0.02
QNTM/O/E/THE/23/11/0026,Quant Consumption Fund,0.77,0.71,2026-02-01,0.06
QNTM/O/E/THE/23/11/0027,Quant PSU Fund,0.88,0.91,2026-02-01,-0.03
QNTM/O/E/VAF/21/10/0014,QUANT VALUE FUND,0.45,0.44,2026-02-01,0.01
QNTM/O/H/AHF/01/02/0005,Quant Aggressive Hybrid Fund,0.65,0.64,2026-02-01,0.01
QNTM/O/H/ARB/25/02/0028,Quant Arbitrage Fund,0.23,0.2,2026-02-01,0.03
QTMM/O/D/DBF/15/03/0009,QUANTUM DYNAMIC BOND FUND,0.45,0.44,2026-02-01,0.01
QTMM/O/H/MAA/23/09/0013,Quantum Multi Asset Allocation Fund,0.38,0.37,2026-02-01,0.01
SAMC/O/E/THE/23/04/0004,Samco Active Momentum Fund,0.7,0.75,2026-02-01,-0.05
SBIM/C/E/ELS/15/12/0048,SBI LONG TERM ADVANTAGE FUND - SERIES III,0.84,0.85,2026-02-01,-0.01
SBIM/C/E/ELS/16/12/0049,SBI Long Term Advantage Fund - Series IV,0.82,0.83,2026-02-01,-0.01
SBIM/C/E/ELS/17/12/0050,SBI Long Term Advantage Fund - Series V,0.88,0.89,2026-02-01,-0.01
SBIM/C/E/ELS/17/12/0051,SBI Long Term Advantage Fund - Series VI,0.89,0.9,2026-02-01,-0.01
SBIM/O/E/COF/99/04/0009,SBI CONTRA FUND,0.54,0.55,2026-02-01,-0.01
SBIM/O/E/DYF/23/01/0168,SBI Dividend Yield Fund,0.67,0.66,2026-02-01,0.01
SBIM/O/E/ELS/99/09/0014,SBI ELSS Tax Saver Fund,0.79,0.76,2026-02-01,0.03
SBIM/O/E/FCF/05/07/0026,SBI FLEXICAP FUND,0.67,0.66,2026-02-01,0.01
SBIM/O/E/FOC/99/04/0010,SBI Focused Fund,0.59,0.58,2026-02-01,0.01
SBIM/O/E/LCF/05/12/0027,SBI Large Cap Fund,0.64,0.63,2026-02-01,0.01
SBIM/O/E/LMF/98/04/0003,SBI LARGE & MIDCAP FUND,0.58,0.57,2026-02-01,0.01
SBIM/O/E/MCF/21/11/0144,SBI MultiCap Fund,0.66,0.67,2026-02-01,-0.01
SBIM/O/E/MIF/05/01/0023,SBI Midcap Fund,0.68,0.67,2026-02-01,0.01
SBIM/O/E/SCF/09/08/0033,SBI SMALL CAP FUND,0.61,0.6,2026-02-01,0.01
SBIM/O/E/SEC/05/06/0024,SBI Comma Fund,1.32,1.29,2026-02-01,0.03
SBIM/O/E/SEC/07/04/0029,SBI INFRASTRUCTURE FUND,0.87,0.84,2026-02-01,0.03
SBIM/O/E/SEC/10/02/0035,SBI PSU FUND,0.67,0.66,2026-02-01,0.01
SBIM/O/E/SEC/14/09/0039,SBI BANKING & FINANCIAL SERVICES FUND,0.58,0.57,2026-02-01,0.01
SBIM/O/E/SEC/99/04/0007,SBI TECHNOLOGY OPPORTUNITIES FUND,0.73,0.72,2026-02-01,0.01
SBIM/O/E/SEC/99/04/0008,SBI HEALTHCARE OPPORTUNITIES FUND,0.74,0.73,2026-02-01,0.01
SBIM/O/E/THE/24/01/0177,SBI Energy Opportunities Fund,0.65,0.63,2026-02-01,0.02
SBIM/O/E/THE/24/01/0178,SBI Automotive Opportunities Fund,0.67,0.65,2026-02-01,0.02
SBIM/O/E/THE/24/05/0182,SBI Innovative Opportunities Fund,0.73,0.74,2026-02-01,-0.01
SBIM/O/E/THE/24/06/0185,SBI Quant Fund,0.61,0.64,2026-02-01,-0.03
SBIM/O/E/THE/97/01/0001,SBI ESG Exclusionary Strategy Fund,1.09,1.1,2026-02-01,-0.01
SBIM/O/E/THE/99/04/0006,SBI CONSUMPTION OPPORTUNITIES FUND,0.74,0.73,2026-02-01,0.01
SBIM/O/E/THE/99/08/0013,SBI MNC Fund,1.02,1.01,2026-02-01,0.01
SBIM/O/H/AHF/97/12/0002,SBI EQUITY HYBRID FUND,0.55,0.56,2026-02-01,-0.01
SBIM/O/H/DAA/21/07/0133,SBI Balanced Advantage Fund,0.55,0.57,2026-02-01,-0.02
SBIM/O/H/ESF/15/01/0045,SBI EQUITY SAVINGS FUND,0.77,0.76,2026-02-01,0.01
SBIM/O/H/MAA/05/06/0025,SBI MULTI ASSET ALLOCATION FUND,0.47,0.46,2026-02-01,0.01
SBIM/O/O/FOD/11/08/0036,SBI GOLD FUND,0.1,0.2,2026-02-01,-0.1
SBIM/O/O/FOD/24/05/0180,SBI Silver ETF Fund of Fund,0.28,0.26,2026-02-01,0.02
SBIM/O/O/FOD/25/04/0195,SBI Dynamic Asset Allocation Active FoF,0.2,0.21,2026-02-01,-0.01
SBIM/O/S/CHI/20/06/0116,SBI Children's Fund - Investment Plan,0.71,0.7,2026-02-01,0.01
SBIM/O/S/RET/20/01/0111,SBI Retirement Benefit Fund - Aggressive Plan,0.76,0.75,2026-02-01,0.01
SBIM/O/S/RET/20/01/0112,SBI Retirement Benefit Fund - Aggressive Hybrid Plan,0.9,0.89,2026-02-01,0.01
SUND/O/D/USD/07/07/0021,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund),0.2,0.21,2026-02-01,-0.01
SUND/O/E/DYF/04/08/0012,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund),0.85,0.84,2026-02-01,0.01
SUND/O/E/ELS/95/12/0001,Sundaram ELSS Tax Saver Fund,1.32,1.31,2026-02-01,0.01
SUND/O/E/ELS/99/08/0004,Sundaram Value Fund,1.39,1.38,2026-02-01,0.01
SUND/O/E/FCF/22/07/0052,Sundaram Flexicap Fund,0.56,0.55,2026-02-01,0.01
SUND/O/E/FOC/05/05/0016,Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund),1.01,1.0,2026-02-01,0.01
SUND/O/E/LCF/20/01/0051,Sundaram Large Cap Fund ( Formerly Know as Sundaram Blue Chip Fund),0.53,0.52,2026-02-01,0.01
SUND/O/E/LMF/06/12/0019,Sundaram Large and Midcap Fund,0.54,0.53,2026-02-01,0.01
SUND/O/E/MCF/00/09/0006,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund),0.72,0.71,2026-02-01,0.01
SUND/O/E/SCF/04/12/0013,Sundaram Small Cap Fund,0.67,0.66,2026-02-01,0.01
SUND/O/E/SEC/08/03/0022,Sundaram Financial Services Opportunities Fund,0.62,0.61,2026-02-01,0.01
SUND/O/E/THE/05/06/0017,Sundaram Infrastructure Advantage Fund (Erstwhile Sundaram Capex Opportunities),1.32,1.31,2026-02-01,0.01
SUND/O/E/THE/05/06/0018,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund),0.99,0.98,2026-02-01,0.01
SUND/O/E/THE/18/07/0047,Sundaram Services Fund,0.52,0.53,2026-02-01,-0.01
SUND/O/E/THE/24/04/0054,Sundaram Business Cycle Fund,0.47,0.46,2026-02-01,0.01
SUND/O/E/THE/25/04/0055,Sundaram Multi-Factor Fund,0.46,0.45,2026-02-01,0.01
SUND/O/H/ARB/15/09/0026,Sundaram Arbitrage Fund(Formerly Known as Prinicpal Arbitrage Fund),0.26,0.25,2026-02-01,0.01
SUND/O/H/BAF/10/09/0024,Sundaram Balanced Advantage Fund (Formerly Known as Principal Balanced Advantage Fund),0.46,0.47,2026-02-01,-0.01
SUND/O/H/BHF/99/12/0005,Sundaram Aggressive Hybrid Fund (Formerly Known as Principal Hybrid Equity Fund),0.59,0.6,2026-02-01,-0.01
SUND/O/H/MAA/23/12/0053,Sundaram Multi Asset Allocation Fund,0.29,0.3,2026-02-01,-0.01
SUND/O/O/FOD/25/09/0056,Sundaram Income Plus Arbitrage Active FoF,0.41,0.39,2026-02-01,0.02
TATA/O/E /MCF/22/10/0053,Tata Multicap Fund,0.36,0.35,2026-02-01,0.01
TATA/O/E/DYF/21/03/0042,Tata Dividend Yield Fund,0.42,0.48,2026-02-01,-0.06
TATA/O/E/ELS/95/11/0005,Tata Elss Fund,0.65,0.64,2026-02-01,0.01
TATA/O/E/FCF/18/05/0029,Tata Flexi Cap Fund,0.49,0.48,2026-02-01,0.01
TATA/O/E/FOC/19/10/0040,Tata Focused Fund,0.51,0.55,2026-02-01,-0.04
TATA/O/E/LCF/98/02/0009,Tata Large Cap Fund,0.8,0.79,2026-02-01,0.01
TATA/O/E/LMF/93/01/0001,Tata Large & Mid Cap Fund,0.57,0.56,2026-02-01,0.01
TATA/O/E/MIF/94/05/0002,Tata Mid Cap Fund,0.52,0.51,2026-02-01,0.01
TATA/O/E/SCF/18/08/0033,Tata Small Cap Fund,0.32,0.31,2026-02-01,0.01
TATA/O/E/SEC/04/08/0019,Tata Infrastructure Fund,0.98,0.96,2026-02-01,0.02
TATA/O/E/SEC/15/10/0024,Tata Banking & Financial Services Fund,0.41,0.4,2026-02-01,0.01
TATA/O/E/SEC/15/10/0025,Tata Digital India Fund,0.39,0.4,2026-02-01,-0.01
TATA/O/E/SEC/15/10/0026,Tata India Consumer Fund,0.61,0.6,2026-02-01,0.01
TATA/O/E/SEC/15/10/0027,Tata India Pharma & Healthcare Fund,0.57,0.56,2026-02-01,0.01
TATA/O/E/SEC/15/10/0028,Tata Resources & Energy Fund,0.48,0.46,2026-02-01,0.02
TATA/O/E/THE/21/06/0045,Tata Business Cycle Fund,0.39,0.46,2026-02-01,-0.07
TATA/O/E/THE/22/07/0049,Tata Housing Opportunities Fund,0.59,0.65,2026-02-01,-0.06
TATA/O/E/THE/24/10/0072,Tata India Innovation Fund,0.44,0.51,2026-02-01,-0.07
TATA/O/E/THE/96/02/0006,Tata Ethical Fund,0.51,0.57,2026-02-01,-0.06
TATA/O/E/VAF/04/02/0018,Tata Value Fund,0.65,0.64,2026-02-01,0.01
TATA/O/H/AHF/95/07/0003,Tata Aggressive Hybrid Fund,0.8,0.79,2026-02-01,0.01
TATA/O/H/ARB/18/06/0030,Tata Arbitrage Fund,0.27,0.28,2026-02-01,-0.01
TATA/O/H/BAF/18/07/0031,Tata Balanced Advantage Fund,0.33,0.39,2026-02-01,-0.06
TATA/O/H/ESF/97/02/0007,Tata Equity Savings Fund,0.46,0.52,2026-02-01,-0.06
TATA/O/H/MAA/19/09/0039,Tata Multi Asset Allocation Fund,0.29,0.34,2026-02-01,-0.05
TATA/O/O /DIN/22/11/0054,TATA NIFTY G-SEC DEC 2029 INDEX FUND,0.12,0.11,2026-02-01,0.01
TATA/O/O/FOD/23/12/0056,Tata Silver Etf Fund Of Fund,0.12,0.18,2026-02-01,-0.06
TATA/O/O/FOD/23/12/0057,Tata Gold Etf Fund Of Fund,0.17,0.23,2026-02-01,-0.06
TATA/O/O/FOD/25/04/0076,Tata Income Plus Arbitrage Active FOF,0.02,0.01,2026-02-01,0.01
TATA/O/O/OIN/24/02/0062,TATA NIFTY FINANCIAL SERVICES INDEX FUND,0.36,0.37,2026-02-01,-0.01
TATA/O/O/OIN/24/03/0067,TATA NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20 INDEX FUND,0.36,0.37,2026-02-01,-0.01
TATA/O/O/OIN/25/02/0075,Tata BSE Quality Index Fund,0.24,0.25,2026-02-01,-0.01
TATA/O/O/OIN/25/05/0077,Tata Nifty Midcap 150 Index Fund,0.04,0.05,2026-02-01,-0.01
TATA/O/O/OIN/25/08/0078,Tata Nifty Next 50 Index Fund,0.14,0.15,2026-02-01,-0.01
TATA/O/O/OIN/25/11/0079,Tata Bse Multicap Consumption 50:30:20 Index Fund,0.19,0.2,2026-02-01,-0.01
TATA/O/S/CHI/95/07/0004,Tata Childrens Fund,1.72,1.7,2026-02-01,0.02
TATA/O/S/RET/11/06/0021,Tata Retirement Savings Fund-Conservative Plan,0.8,0.83,2026-02-01,-0.03
TATA/O/S/RET/11/06/0022,Tata Retirement Savings Fund-Moderate Plan,0.48,0.54,2026-02-01,-0.06
TATA/O/S/RET/11/06/0023,Tata Retirement Savings Fund-Progressive Plan,0.5,0.49,2026-02-01,0.01
TAUR/O/E/EIN/10/03/0007,Taurus Nifty 50 Index Fund,0.72,0.63,2026-02-01,0.09
TAUR/O/E/ELS/01/02/0003,Taurus ELSS Tax Saver Fund,1.56,1.45,2026-02-01,0.11
TAUR/O/E/FCF/94/01/0001,Taurus Flexi Cap Fund,2.16,2.14,2026-02-01,0.02
TAUR/O/E/LCF/02/01/0004,Taurus Large Cap Fund,2.04,1.96,2026-02-01,0.08
TAUR/O/E/MIF/00/02/0002,Taurus Mid Cap Fund,1.75,1.61,2026-02-01,0.14
TAUR/O/E/SEC/06/08/0005,Taurus Infrastructure Fund,1.64,1.34,2026-02-01,0.3
TAUR/O/E/SEC/11/11/0008,Taurus Banking & Financial Services Fund,1.37,1.59,2026-02-01,-0.22
TAUR/O/E/THE/08/11/0006,Taurus Ethical Fund,0.77,0.51,2026-02-01,0.26
TWCF/O/H/MAA/25/09/0005,THE WEALTH COMPANY MULTI ASSET ALLOCATION FUND,0.31,0.32,2026-02-01,-0.01
ULIS Scheme code not Alloted,LIC MF Unit Linked Insurance Scheme (ULIS),1.27,1.28,2026-02-01,-0.01
UNIN/O/E/ELS/11/08/0003,Union ELSS Tax Saver Fund (Formerly Union Tax Saver (ELSS) Fund,1.15,1.14,2026-02-01,0.01
UNIN/O/E/FCF/11/04/0001,Union Flexi Cap Fund,0.77,0.76,2026-02-01,0.01
UNIN/O/E/LMF/19/09/0014,Union Large & Midcap Fund,0.84,0.83,2026-02-01,0.01
UNIN/O/E/MCF/22/07/0021,Union Multicap Fund,0.83,0.82,2026-02-01,0.01
UNIN/O/E/MIF/19/12/0016,Union Midcap Fund,0.6,0.59,2026-02-01,0.01
UNIN/O/E/SCF/14/03/0005,Union Small Cap Fund,0.8,0.78,2026-02-01,0.02
UNIN/O/E/THE/23/02/0023,Union Innovation & Opportunities Fund,0.68,0.66,2026-02-01,0.02
UNIN/O/E/THE/24/01/0025,Union Business Cycle Fund,1.29,1.28,2026-02-01,0.01
UNIN/O/H /MAA/24/07/0026,Union Multi Asset Allocation Fund,0.83,0.81,2026-02-01,0.02
UNIN/O/H/ARB/18/12/0011,Union Arbitrage Fund,0.35,0.34,2026-02-01,0.01
UTIM/O/D/BPF/13/09/0055,UTI Banking & PSU Fund,0.17,0.18,2026-02-01,-0.01
UTIM/O/D/CRF/12/06/0053,UTI - Credit Risk Fund.,0.7,0.75,2026-02-01,-0.05
UTIM/O/D/DBF/07/11/0042,UTI - Dynamic Bond Fund.,0.63,0.64,2026-02-01,-0.01
UTIM/O/D/DIN/22/10/0105,UTI CRISIL SDL Maturity June 2027 Index Fund,0.13,0.14,2026-02-01,-0.01
UTIM/O/D/FLF/18/07/0073,UTI - Floater Fund,0.34,0.36,2026-02-01,-0.02
UTIM/O/D/GIL/02/01/0014,UTI - Gilt Fund,0.43,0.37,2026-02-01,0.06
UTIM/O/D/MDF/13/05/0054,UTI Medium Duration Fund,0.62,0.65,2026-02-01,-0.03
UTIM/O/D/MLD/98/05/0007,UTI Medium to Long Duration Fund,1.06,1.08,2026-02-01,-0.02
UTIM/O/D/USD/03/08/0018,UTI Ultra Short Duration Fund,0.29,0.28,2026-02-01,0.01
UTIM/O/E/DYF/05/03/0024,UTI - Dividend Yield Fund,1.2,1.18,2026-02-01,0.02
UTIM/O/E/EIN/23/02/0113,UTI Nifty 500 Value 50 Index Fund,0.53,0.54,2026-02-01,-0.01
UTIM/O/E/EIN/24/07/0122,UTI Nifty Private Bank Index Fund,0.55,0.54,2026-02-01,0.01
UTIM/O/E/EIN/24/07/0123,UTI Nifty 200 Quality 30 Index Fund,0.58,0.59,2026-02-01,-0.01
UTIM/O/E/EIN/24/07/0125,UTI Nifty Midcap 150 Index Fund,0.57,0.58,2026-02-01,-0.01
UTIM/O/E/EIN/24/07/0128,UTI Nifty Midsmallcap 400 Momentum Quality 100 Index Fund,0.53,0.55,2026-02-01,-0.02
UTIM/O/E/ELS/99/10/0012,UTI ELSS Tax Saver Fund,0.79,0.81,2026-02-01,-0.02
UTIM/O/E/FCF/92/05/0002,UTI - Flexi Cap Fund.,0.85,0.86,2026-02-01,-0.01
UTIM/O/E/FOC/21/05/0096,UTI Focused Fund,0.5,0.49,2026-02-01,0.01
UTIM/O/E/LCF/86/10/0001,UTI - Large Cap Fund,0.75,0.74,2026-02-01,0.01
UTIM/O/E/LMF/09/05/0052,UTI Large & Mid Cap Fund,0.74,0.73,2026-02-01,0.01
UTIM/O/E/MCF/24/12/0130,UTI Multi Cap Fund,0.59,0.58,2026-02-01,0.01
UTIM/O/E/MIF/04/01/0020,UTI - Mid Cap Fund,0.73,0.74,2026-02-01,-0.01
UTIM/O/E/SCF/20/03/0094,UTI Small Cap Fund,0.5,0.52,2026-02-01,-0.02
UTIM/O/E/SEC/04/01/0022,UTI - Banking and Financial Services Fund,0.87,0.86,2026-02-01,0.01
UTIM/O/E/SEC/04/01/0023,UTI - Transportation and Logistics Fund,0.67,0.66,2026-02-01,0.01
UTIM/O/E/SEC/99/05/0009,UTI - Healthcare Fund,1.07,1.05,2026-02-01,0.02
UTIM/O/E/THE/04/01/0021,UTI - Infrastructure Fund,1.63,1.61,2026-02-01,0.02
UTIM/O/E/THE/07/05/0033,UTI - India Consumer Fund,1.32,1.31,2026-02-01,0.01
UTIM/O/E/THE/23/03/0118,UTI Innovation Fund,0.7,0.75,2026-02-01,-0.05
UTIM/O/E/THE/24/10/0126,UTI Quant Fund,0.28,0.32,2026-02-01,-0.04
UTIM/O/E/THE/98/05/0008,UTI - MNC Fund,1.04,1.05,2026-02-01,-0.01
UTIM/O/H/AHF/95/01/0005,UTI Aggressive Hybrid Fund,0.99,0.97,2026-02-01,0.02
UTIM/O/H/ARB/06/01/0026,UTI - Arbitrage Fund,0.22,0.23,2026-02-01,-0.01
UTIM/O/H/BAF/23/05/0116,UTI Balanced Advantage Fund,0.43,0.46,2026-02-01,-0.03
UTIM/O/H/ESF/18/06/0064,UTI - Equity Savings Fund,0.49,0.52,2026-02-01,-0.03
UTIM/O/H/MAA/08/09/0051,UTI Multi Asset Allocation Fund,0.44,0.46,2026-02-01,-0.02
UTIM/O/O/EIN/20/12/0095,UTI Nifty 200 Momentum 30 Index Fund,0.38,0.37,2026-02-01,0.01
UTIM/O/O/EIN/21/09/0098,UTI Nifty Midcap 150 Quality 50 Index Fund,0.52,0.51,2026-02-01,0.01
UTIM/O/O/FOD/22/08/0101,UTI Gold ETF Fund of Fund,0.16,0.17,2026-02-01,-0.01
UTIM/O/S/DIN/22/10/0109,UTI NIFTY SDL Plus AAA PSU Bond Apr 2028- 75:25 Index Fund,0.16,0.17,2026-02-01,-0.01
UTIM/O/S/RET/94/11/0004,UTI Retirement Fund,0.93,0.92,2026-02-01,0.01
UTIM/OS/CHI/08/01/0043,UTI Children's Equity Fund,0.98,0.99,2026-02-01,-0.01
WHIT/O/D/USD/18/11/0002,WhiteOak Capital Ultra Short Duration Fund,0.44,0.45,2026-02-01,-0.01
WHIT/O/E/FCF/22/03/0004,WhiteOak Capital Flexi Cap Fund,0.4,0.39,2026-02-01,0.01
WHIT/O/E/LCF/22/06/0007,WhiteOak Capital Large Cap Fund,0.47,0.48,2026-02-01,-0.01
WHIT/O/E/LMF/23/10/0013,WhiteOak Capital Large & Mid Cap Fund,0.43,0.44,2026-02-01,-0.01
WHIT/O/E/MCF/23/08/0011,WhiteOak Capital Multi Cap Fund,0.4,0.43,2026-02-01,-0.03
WHIT/O/E/MIF/22/05/0005,WhiteOak Capital Mid Cap Fund,0.42,0.43,2026-02-01,-0.01
WHIT/O/E/SEC/23/12/0015,WhiteOak Capital Pharma and Healthcare Fund,0.53,0.54,2026-02-01,-0.01
WHIT/O/E/THE/23/10/0014,WhiteOak Capital Banking & Financial Services Fund,0.51,0.52,2026-02-01,-0.01
WHIT/O/E/THE/24/04/0016,Whiteoak Capital Special Opportunities Fund,0.46,0.5,2026-02-01,-0.04
WHIT/O/E/THE/24/09/0019,WhiteOak Capital ESG Best-In-Class Strategy Fund,0.52,0.54,2026-02-01,-0.02
WHIT/O/E/THE/24/11/0020,WhiteOak Capital Quality Equity Fund,0.52,0.55,2026-02-01,-0.03
WHIT/O/H/ARB/24/05/0017,WhiteOak Capital Arbitrage Fund,0.28,0.29,2026-02-01,-0.01
WHIT/O/H/BAF/22/10/0008,WhiteOak Capital Balanced Advantage Fund,0.46,0.49,2026-02-01,-0.03
WHIT/O/H/BHF/23/08/0012,WhiteOak Capital Balanced Hybrid Fund,0.44,0.45,2026-02-01,-0.01
WHIT/O/H/ESF/25/01/0021,WhiteOak Capital Equity Savings Fund,0.46,0.52,2026-02-01,-0.06
WHIT/O/H/MAA/23/02/0010,WhiteOak Capital Multi Asset Allocation Fund,0.27,0.29,2026-02-01,-0.02
ZERO/O/O/DET/25/07/0012,Zerodha Nifty 8-13 Yr G-Sec ETF,0.06,0.05,2026-02-01,0.01
