NSDL Scheme Code,Scheme Name,Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),TER Date (Change),TER Reduction (%)
DSPM/O/H/BHF/99/04/0004,DSP Aggressive Hybrid Fund,0.51,0.53,2026-02-01,-0.02
DSPM/O/H/CHF/04/04/0012,DSP Regular Savings Fund,0.42,0.46,2026-02-01,-0.04
DSPM/O/H/DAA/13/10/0026,DSP Dynamic Asset Allocation Fund,0.54,0.53,2026-02-01,0.01
DSPM/O/H/ESF/15/09/0030,DSP Equity Savings Fund,0.53,0.56,2026-02-01,-0.03
DSPM/O/H/MAA/23/06/0065,DSP Multi Asset Allocation Fund,0.19,0.21,2026-02-01,-0.02
DSPM/O/O/EET/23/07/0070,DSP Nifty Healthcare ETF,0.18,0.17,2026-02-01,0.01
DSPM/O/O/EET/25/06/0087,DSP MSCI India ETF,0.37,0.36,2026-02-01,0.01
DSPM/O/O/EET/25/08/0086,DSP Nifty500 Flexicap Quality 30 ETF,0.3,0.29,2026-02-01,0.01
DSPM/O/O/EIN/24/10/0079,DSP BSE Sensex Next 30 Index Fund,0.24,0.25,2026-02-01,-0.01
DSPM/O/O/EIN/24/12/0080,DSP Nifty Private Bank Index Fund,0.23,0.22,2026-02-01,0.01
DSPM/O/O/EIN/25/01/0084,DSP Nifty Healthcare Index Fund,0.23,0.25,2026-02-01,-0.02
DSPM/O/O/EIN/25/10/0091,DSP Nifty Smallcap 250 Index Fund,0.23,0.24,2026-02-01,-0.01
DSPM/O/O/FOD/23/05/0066,DSP Gold ETF Fund of Fund,0.64,0.63,2026-02-01,0.01
DSPM/O/O/FOD/25/03/0081,DSP Silver ETF Fund of Fund,0.55,0.6,2026-02-01,-0.05
DSPM/O/O/FOO/07/07/0018,DSP World Gold Mining Overseas Equity Omni FoF,1.6,1.62,2026-02-01,-0.02
DSPM/O/O/FOO/09/06/0020,DSP Global Clean Energy Overseas Equity Omni FoF,1.65,1.66,2026-02-01,-0.01
DSPM/O/O/FOO/09/06/0021,DSP World Mining Overseas Equity Omni FoF,1.59,1.53,2026-02-01,0.06
DSPM/O/O/FOO/12/05/0024,DSP US Specific Equity Omni FoF,1.43,1.46,2026-02-01,-0.03
DSPM/O/O/FOO/14/06/0028,DSP Income Plus Arbitrage Omni FoF,0.42,0.41,2026-02-01,0.01
DSPM/O/O/OET/21/06/0046,DSP Nifty Midcap 150 Quality 50 ETF,0.26,0.27,2026-02-01,-0.01
EDEL/O/D/GIL/13/08/0012,Edelweiss Government Securities Fund,0.44,0.43,2026-02-01,0.01
EDEL/O/D/LOW/25/02/0068,Edelweiss Low Duration Fund,0.06,0.18,2026-02-01,-0.12
EDEL/O/D/MMF/08/04/0004,Edelweiss Money Market Fund,0.14,0.08,2026-02-01,0.06
EDEL/O/E/ELS/08/12/0005,Edelweiss ELSS Tax saver Fund,0.59,0.58,2026-02-01,0.01
EDEL/O/E/FCF/14/10/0018,Edelweiss Flexi Cap Fund,0.33,0.32,2026-02-01,0.01
EDEL/O/E/FOC/21/12/0042,Edelweiss Focused Fund,0.51,0.5,2026-02-01,0.01
EDEL/O/E/LCF/09/03/0006,Edelweiss Large Cap Fund,0.48,0.45,2026-02-01,0.03
EDEL/O/E/LMF/07/03/0001,Edelweiss Large & Mid Cap Fund,0.32,0.31,2026-02-01,0.01
EDEL/O/E/MAA/23/05/0054,Edelweiss Multi Asset Allocation Fund,0.31,0.33,2026-02-01,-0.02
EDEL/O/E/MCF/23/08/0055,Edelweiss Multi Cap Fund,0.31,0.34,2026-02-01,-0.03
EDEL/O/E/MIF/07/10/0003,Edelweiss Mid Cap Fund,0.3,0.32,2026-02-01,-0.02
EDEL/O/E/OES/17/12/0021,Edelweiss Recently Listed IPO Fund,0.84,0.82,2026-02-01,0.02
EDEL/O/E/SCF/18/08/0022,Edelweiss Small Cap Fund,0.34,0.33,2026-02-01,0.01
EDEL/O/E/THE/23/11/0058,Edelweiss Technology Fund,0.47,0.48,2026-02-01,-0.01
EDEL/O/E/THE/24/01/0060,Edelweiss Business Cycle Fund,0.37,0.41,2026-02-01,-0.04
EDEL/O/E/THE/24/11/0066,Edelweiss Consumption Fund,0.6,0.59,2026-02-01,0.01
EDEL/O/H/AHF/09/04/0007,Edelweiss Aggressive Hybrid Fund,0.28,0.27,2026-02-01,0.01
EDEL/O/H/ARB/14/05/0016,Edelweiss Arbitrage Fund,0.33,0.34,2026-02-01,-0.01
EDEL/O/H/BAF/09/06/0009,Edelweiss Balanced Advantage Fund,0.39,0.37,2026-02-01,0.02
EDEL/O/H/ESF/14/09/0017,Edelweiss Equity Savings Fund,0.55,0.53,2026-02-01,0.02
EDEL/O/O/DIN/22/09/0045,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund,0.18,0.17,2026-02-01,0.01
